icode,Mment,IndentQty,ProductionQty,DespatchQty,BalanceQty,IndentValue,ProductionValue,DespatchValue,BalanceValue,sno
7368,NOS,63,0,61,2,6960,0,6739,221,270
8668,KGS,2,0,0,2,2650,0,0,2650,271
760,KGS,2,0,0,2,0,0,0,0,272
21008,NOS,24,0,22,2,1600,0,1467,133,273
21561,LTRS,2,0,0,2,2203,0,0,2203,274
20417,NOS,2,0,0,2,0,0,0,0,275
20365,KGS,7,6,5,2,7000,5980,4690,2310,276
97,KGS,2,0,0,2,813,0,0,813,277
86,KGS,2,0,0,2,0,0,0,0,278
64,KGS,2,0,0,2,1124,0,0,1124,279
3,KGS,2,0,0,2,0,0,0,0,280
293,NOS,2,0,0,2,0,0,0,0,281
191,NOS,2,0,0,2,0,0,0,0,282
5,KGS,1,0,0,1,0,0,0,0,283
8,KGS,944,942,943,1,611409,609867,610547,861,284
20366,KGS,1,0,0,1,610,0,0,610,285
8924,NOS,162,0,161,1,17161,0,17055,106,286
20506,NOS,24,0,23,1,1600,0,1533,67,287
21044,NOS,26,0,25,1,1238,0,1191,48,288
24707,NOS,1,0,0,1,683,0,0,683,289
24709,NOS,1,0,0,1,1022,0,0,1022,290
24710,NOS,1,7,0,1,1192,8344,0,1192,291
24712,NOS,1,5,0,1,804,4018,0,804,292
24930,KGS,1,0,0,1,580,0,0,580,293
24931,KGS,1,0,0,1,580,0,0,580,294
40268,KGS,1,0,0,1,648,0,0,648,295
23067,NOS,1,0,0,1,0,0,0,0,296
23070,NOS,1,0,0,1,0,0,0,0,297
23636,BOXES,1,0,0,1,826,0,0,826,298
23637,BOXES,1,0,0,1,888,0,0,888,299
23677,NOS,1,12,0,1,821,9857,0,821,300
23596,BOXES,1,0,0,1,0,0,0,0,301
23417,KGS,97,168,95,1,120625,210225,119238,1388,302
40361,KGS,1,6,1,0,1325,7447,822,504,303
21011,NOS,16,0,16,0,1341,0,1341,0,304
20520,NOS,23,0,23,0,2629,0,2629,0,305
20502,NOS,28,0,28,0,1867,0,1867,0,306
20503,NOS,26,0,26,0,1733,0,1733,0,307
8906,KGS,2,2,2,0,800,708,708,92,308
8691,NOS,58,0,58,0,9839,0,9839,0,309
390,KGS,29,37,28,0,11416,14680,11252,164,310
301,KGS,1,3,2,-1,280,924,428,-148,311
303,KGS,2,12,3,-1,760,4640,1144,-384,312
273,KGS,1,4,2,-1,400,1404,800,-400,313
24323,NOS,2,31,3,-1,625,9688,938,-313,314
23632,BOXES,1,42,3,-2,821,34500,2464,-1643,315
23634,NOS,1,36,3,-2,1094,39375,3281,-2188,316
471,NOS,1212,0,1214,-2,216427,0,216784,-357,317
119,KGS,5,1489,7,-2,2194,605032,2823,-630,318
8917,NOS,17,0,19,-2,1297,0,1449,-153,319
8811,NOS,550,0,552,-2,98214,0,98571,-357,320
20504,NOS,66,0,68,-2,3771,0,3886,-114,321
40222,KGS,10,47,13,-3,13910,65975,18445,-4535,322
24708,NOS,1,20,4,-3,911,18214,3643,-2732,323
67,KGS,316,323,320,-4,198314,203104,201086,-2772,324
